part;var;de;en
obj_xlel;;Lernort;Learn Location
objs_xlel;;Lernorte;Learn Locations
obj_xlel_duplicate;;Kopieren;Copy
objs_xlel_duplicate;;Lernort kopieren;Copy Learn Location
obj_xlel_select;;lernort auswählen;Choose Learn Location
xlel_add;;Lernort hinzufügen;Add Learn Location
xlel_new;;Neuen Lernort erstellen;Add new Learn Location
xlel_read;;Leserechte auf lernort;Write-Access to Learn Location
xlel_write;;Lernort bearbeiten;Edit Learn Location
xlel_delete;;Lernort löschen;Delete Learn Location
xlel_visible;;Lernort ist sichtbar;Learn Location is visible
xlel_edit_permission;;Rechteeinstellungen ändern;Edit Permissions
crs_create_xlel;;Lernort erstellen;Create Learn Location
grp_create_xlel;;Lernort erstellen;Create Learn Location
fold_create_xlel;;lernort erstellen;Create Learn Location
root_create_xlel;;Lernort erstellen;Create Learn Location
cat_create_xlel;;Lernort erstellen;Create Learn Location
content;;Inhalt;Content
properties;;Einstellungen;Settings
edit_properties;;Einstellungen bearbeiten;Edit Settings
title;;Titel;Title
description;;Beschreibung;Description
save;;Speichern;Save
cancel;;Abbrechen;Cancel
edit;;Bearbeiten;Edit
status;;Status;Status
offline;;Offline;Offline
learnloc_plugin_configuration;;LearningLocation Plugin Configuration;LearningLocation Plugin Configuration
saving_invoked;;Save procedure has been executed. Please note that this example does not save anything to DB.;Save procedure has been executed. Please note that this example does not save anything to DB.
location_selector;;Ort auswählen;Choose Location
init_mob_id_selector;;Neues Bild zum Lernort hinzufügen;Add new Image to Learn Location
no_map_api;;Bitte aktivieren Sie die Google-Maps API für diese ILIAS-Installation. Kontaktieren Sie Ihre lokale ILIAS-Administration.;Please activate the Google-Maps API.
images_init;;Bilder Lernort;Images Learn Location
images_comments;;Bilder Kommentare;Images Comments
media;;Bilder;Gallery
comments;;Kommentare;Comments
new_comment;;Neuer Kommentar;New Comment
new_answer;;Antworten;Answer
save_new_comment;;Kommentar speichern;Save Comment
delete_comment;;löschen;Delete
body;;Kommentar;Comment
image;;Bild;Image
add_new_items;;zum Ordner wechseln, um Objekte hinzuzufügen;Choose Folder to add new Objects
folder_content;;Material;Content
comment_saved;;Kommentar gespeichert;Comment saved
confirm_delete_header;;Möchten Sie die Medien wirklich löschen?;Do you really want to delete this media?
export_arcgis;;Export;Export
export_csv;;Export CSV;Export CSV
export_gpx;;Export GPX;Export GPX
keywords;export;Keywords;Keywords
keywords;save;Keywords speichern;Save Keywords
keywords;update;Update Keywords;Update Keywords
keywords;delete;Keywords löschen;Delete Keywords
keywords;title;Keywords;Keywords
keywords;edit;Keywords bearbeiten;Edit Keywords
keywords;info;Keywords Komma-getrennt;Enter keywords coma-separated
msg_images_deleted;;Medien wurden gelöscht;Media was deleted
delete_images;;Ausgewählte Bilder löschen;Delete selected images
block;title_init;Bilder zum Lernort;Learning-Location Images
block;title_comments;Bilder aus Kommentaren;Images from Comments
admin;form_title;Einstellungen;Settings
admin;range;Range;Range
admin;range_allow_override;Range in Objekt festlegen;Set Range in Object
admin;campus_tour_header;Campus-Tour;Campus-Tour
admin;campus_tour;Campus-Tour;Campus-Tour
admin;campus_tour_node;ILIAS-Ref-ID;ILIAS-Ref-Id
admin;campus_tour_username;Benutzername;Username
admin;campus_tour_password;Passwort;Password





